week,method,samples,objective
02/21-02/27,ZO_TG,4480,-11.465109807326499
02/21-02/27,ZO_TG,4680,-11.370525678836577
02/21-02/27,ZO_TG,4884,-11.429739357249657
02/21-02/27,ZO_TG,5092,-11.423914215684949
02/21-02/27,ZO_OG,0,3.8702443431950604
02/21-02/27,ZO_OG,30,2.684521899936785
02/21-02/27,ZO_OG,62,3.5228301441912597
02/21-02/27,ZO_OG,96,4.24025701083364
02/21-02/27,ZO_OG,132,4.173093966801466
02/21-02/27,ZO_OG,170,1.904637969557234
02/21-02/27,ZO_OG,210,1.8711507006278543
02/21-02/27,ZO_OG,252,1.2547759969772618
02/21-02/27,ZO_OG,296,1.1408688866717693
02/21-02/27,ZO_OG,342,0.8784650101991276
02/21-02/27,ZO_OG,390,0.6951125722986076
02/21-02/27,ZO_OG,440,0.9258310009047869
02/21-02/27,ZO_OG,492,0.8227189469363809
02/21-02/27,ZO_OG,546,0.974604126385143
02/21-02/27,ZO_OG,602,1.1381400290009844
02/21-02/27,ZO_OG,660,1.091516286883283
02/21-02/27,ZO_OG,720,0.7816587408432834
02/21-02/27,ZO_OG,782,0.6649278542403283
02/21-02/27,ZO_OG,846,0.6493722393571941
02/21-02/27,ZO_OG,912,0.6415789825888292
02/21-02/27,ZO_OG,980,0.6357688224886512
02/21-02/27,ZO_OG,1050,0.6835180982013485
02/21-02/27,ZO_OG,1122,0.6185498993897522
02/21-02/27,ZO_OG,1196,0.5186957112365481
02/21-02/27,ZO_OG,1272,0.6053134291827567
02/21-02/27,ZO_OG,1350,0.5534481399914617
02/21-02/27,ZO_OG,1430,0.5351366371952964
02/21-02/27,ZO_OG,1512,0.49016311858435274
02/21-02/27,ZO_OG,1596,0.4826885258100717
02/21-02/27,ZO_OG,1682,0.6781217273188477
02/21-02/27,ZO_OG,1770,0.7710255908586015
02/21-02/27,ZO_OG,1860,0.6546991038534421
02/21-02/27,ZO_OG,1952,0.6522404109786791
02/21-02/27,ZO_OG,2046,0.7011712152355942
02/21-02/27,ZO_OG,2142,0.541370889393897
02/21-02/27,ZO_OG,2240,0.39588905095256033
02/21-02/27,ZO_OG,2340,0.4645061900551282
02/21-02/27,ZO_OG,2442,0.41092328309416926
02/21-02/27,ZO_OG,2546,0.5050808180900064
02/21-02/27,ZO_OG,2652,0.5034968575531565
02/21-02/27,ZO_OG,2760,0.5148121208121195
02/21-02/27,ZO_OG,2870,0.48481474067984537
02/21-02/27,ZO_OG,2982,0.47161852507520363
02/21-02/27,ZO_OG,3096,0.515384673336486
02/21-02/27,ZO_OG,3212,0.36520636193690514
02/21-02/27,ZO_OG,3330,0.5996824993668324
02/21-02/27,ZO_OG,3450,0.4852917302925399
02/21-02/27,ZO_OG,3572,0.4996304571233992
02/21-02/27,ZO_OG,3696,0.537825617426014
02/21-02/27,ZO_OG,3822,0.3534531924399152
02/21-02/27,ZO_OG,3950,0.4515159001831042
02/21-02/27,ZO_OG,4080,0.5231463060214281
02/21-02/27,ZO_OG,4212,0.48267529978677587
02/21-02/27,ZO_OG,4346,0.5093133793559476
